Gender,Length,Diameter,Height,Weight,Rings
M,0.65,0.495,0.18,1.793,14
M,0.235,0.16,0.06,0.0545,4
F,0.675,0.555,0.205,1.925,13
M,0.5,0.38,0.155,0.5955,12
M,0.55,0.45,0.17,0.81,11
F,0.67,0.53,0.225,1.5615,11
I,0.42,0.33,0.1,0.352,9
M,0.57,0.44,0.095,0.827,8
F,0.43,0.335,0.12,0.444,13
M,0.62,0.5,0.165,1.307,9
F,0.43,0.34,0.11,0.382,8
M,0.48,0.365,0.12,0.6015,7
F,0.565,0.46,0.15,0.8765,10
F,0.58,0.455,0.16,0.9215,17
I,0.23,0.17,0.05,0.057,5
F,0.615,0.465,0.15,0.923,9
M,0.57,0.445,0.16,1.0145,10
F,0.64,0.475,0.19,1.151,13
I,0.515,0.39,0.125,0.5705,8
I,0.225,0.165,0.055,0.059,4
I,0.285,0.215,0.06,0.0935,6
F,0.43,0.325,0.115,0.3865,11
F,0.58,0.46,0.135,0.926,8
F,0.54,0.415,0.15,0.8115,9
M,0.685,0.535,0.155,1.3845,10
F,0.49,0.375,0.15,0.5755,9
M,0.735,0.59,0.205,2.087,12
F,0.46,0.365,0.115,0.4485,14
M,0.63,0.505,0.15,1.3165,11
M,0.695,0.525,0.175,1.742,12
F,0.5,0.4,0.165,0.7105,20
I,0.505,0.39,0.185,0.6125,7
M,0.68,0.54,0.155,1.534,10
M,0.53,0.425,0.13,0.702,9
M,0.345,0.27,0.095,0.197,9
F,0.555,0.425,0.14,0.963,7
M,0.625,0.505,0.215,1.4455,22
M,0.57,0.455,0.175,1.02,9
I,0.27,0.205,0.05,0.084,6
M,0.58,0.455,0.15,1.114,8
I,0.405,0.31,0.11,0.91,8
M,0.62,0.49,0.19,1.218,13
M,0.61,0.485,0.17,1.281,9
F,0.56,0.425,0.125,0.932,9
I,0.605,0.435,0.13,0.9025,11
I,0.38,0.3,0.09,0.277,6
I,0.65,0.52,0.15,1.238,10
F,0.64,0.5,0.17,1.12,12
F,0.47,0.355,0.18,0.441,8
I,0.335,0.26,0.085,0.192,6
I,0.37,0.27,0.095,0.232,6
F,0.56,0.41,0.16,0.8215,9
I,0.415,0.335,0.1,0.358,7
M,0.625,0.49,0.165,1.1835,11
F,0.4,0.32,0.11,0.353,8
M,0.36,0.295,0.105,0.241,8
I,0.375,0.285,0.1,0.239,8
M,0.57,0.44,0.145,0.8815,10
I,0.48,0.355,0.11,0.4495,8
F,0.47,0.375,0.125,0.5615,10
M,0.7,0.545,0.215,1.9125,10
I,0.315,0.235,0.075,0.1485,6
I,0.305,0.22,0.07,0.141,5
M,0.525,0.425,0.12,0.8665,18
F,0.61,0.495,0.16,1.089,11
M,0.58,0.44,0.15,1.0465,10
I,0.34,0.245,0.085,0.2015,6
I,0.545,0.43,0.14,0.772,8
M,0.645,0.5,0.175,1.3375,10
M,0.59,0.45,0.155,0.874,8
M,0.655,0.535,0.205,1.6445,13
I,0.63,0.475,0.145,1.0605,10
F,0.58,0.45,0.185,0.9955,11
I,0.42,0.32,0.11,0.309,6
M,0.52,0.435,0.195,0.973,18
F,0.485,0.38,0.15,0.605,15
M,0.505,0.38,0.13,0.656,13
F,0.57,0.44,0.12,0.803,9
I,0.445,0.36,0.11,0.4235,9
M,0.66,0.505,0.19,1.4385,11
M,0.585,0.46,0.185,0.922,10
F,0.565,0.45,0.165,0.887,11
I,0.385,0.28,0.09,0.228,5
M,0.52,0.39,0.12,0.6435,7
I,0.535,0.41,0.155,0.6315,12
I,0.44,0.355,0.12,0.495,7
I,0.375,0.275,0.085,0.22,7
M,0.705,0.56,0.165,1.675,10
M,0.6,0.465,0.2,1.259,9
I,0.265,0.195,0.055,0.084,7
F,0.585,0.465,0.17,0.9915,12
M,0.415,0.315,0.115,0.3895,9
M,0.565,0.43,0.15,0.831,10
M,0.41,0.3,0.1,0.301,9
F,0.625,0.495,0.16,1.234,13
M,0.65,0.505,0.19,1.274,11
F,0.7,0.55,0.17,1.684,11
M,0.545,0.415,0.14,0.82,9
F,0.61,0.43,0.14,0.909,8
F,0.58,0.465,0.165,1.1015,11
M,0.6,0.49,0.21,1.9875,10
F,0.595,0.46,0.16,0.921,9
M,0.625,0.48,0.175,1.065,10
M,0.455,0.35,0.12,0.4835,11
F,0.655,0.515,0.155,1.309,11
M,0.475,0.395,0.135,0.592,13
M,0.575,0.44,0.16,0.9615,13
M,0.51,0.41,0.155,1.2825,9
F,0.505,0.385,0.115,0.616,11
I,0.365,0.27,0.085,0.197,6
I,0.54,0.425,0.13,0.7205,10
M,0.58,0.46,0.155,1.0335,10
I,0.385,0.3,0.095,0.302,7
F,0.48,0.365,0.135,0.6395,8
M,0.505,0.44,0.14,0.8275,8
M,0.36,0.27,0.09,0.2225,6
I,0.25,0.175,0.06,0.0635,4
M,0.57,0.48,0.175,1.185,11
M,0.6,0.48,0.175,1.229,13
M,0.615,0.485,0.215,0.9615,11
I,0.4,0.29,0.11,0.329,6
M,0.385,0.255,0.1,0.3175,8
I,0.37,0.285,0.095,0.226,8
I,0.38,0.3,0.1,0.286,7
F,0.4,0.31,0.115,0.3465,10
M,0.445,0.34,0.12,0.4475,9
F,0.675,0.565,0.195,1.8375,12
I,0.18,0.125,0.035,0.0265,4
M,0.385,0.275,0.115,0.2685,8
F,0.455,0.35,0.14,0.5725,10
M,0.525,0.4,0.13,0.8295,11
M,0.725,0.575,0.24,2.21,13
M,0.64,0.515,0.18,1.247,10
I,0.425,0.315,0.095,0.3675,7
M,0.695,0.58,0.2,1.8995,13
F,0.655,0.545,0.185,1.759,11
F,0.66,0.525,0.205,1.3665,18
M,0.63,0.485,0.16,1.243,10
I,0.41,0.325,0.1,0.3245,6
M,0.525,0.41,0.13,0.99,15
I,0.55,0.415,0.145,0.7815,8
I,0.23,0.175,0.065,0.0645,5
M,0.46,0.375,0.135,0.4935,12
M,0.695,0.55,0.215,1.9565,14
M,0.55,0.45,0.15,1.0145,10
M,0.515,0.395,0.12,0.646,9
M,0.77,0.62,0.195,2.5155,12
M,0.57,0.42,0.155,1.008,13
M,0.53,0.415,0.12,0.706,9
M,0.45,0.34,0.13,0.3715,9
F,0.465,0.35,0.13,0.494,18
M,0.505,0.395,0.135,0.5915,12
M,0.64,0.505,0.155,1.4025,10
I,0.52,0.395,0.125,0.663,9
I,0.545,0.4,0.13,0.686,9
F,0.64,0.5,0.175,1.394,10
F,0.625,0.49,0.175,1.233,11
I,0.21,0.17,0.045,0.0475,5
F,0.5,0.385,0.13,0.768,13
M,0.62,0.475,0.195,1.3585,10
I,0.485,0.385,0.13,0.568,7
M,0.575,0.445,0.145,0.876,10
M,0.63,0.485,0.165,1.233,10
F,0.7,0.575,0.205,1.773,13
M,0.56,0.455,0.165,0.86,11
I,0.375,0.28,0.1,0.2565,12
F,0.5,0.375,0.14,0.604,15
F,0.475,0.38,0.14,0.689,7
F,0.63,0.475,0.15,1.072,8
F,0.495,0.4,0.155,0.6445,17
F,0.715,0.565,0.24,2.1995,17
I,0.37,0.275,0.1,0.2815,5
M,0.565,0.435,0.185,1.032,20
M,0.6,0.45,0.16,1.142,10
I,0.255,0.19,0.05,0.083,6
F,0.73,0.555,0.18,1.6895,10
M,0.58,0.46,0.16,1.063,9
F,0.655,0.545,0.165,1.6225,12
F,0.66,0.565,0.195,1.7605,16
I,0.465,0.355,0.105,0.442,7
M,0.505,0.385,0.11,0.655,9
M,0.575,0.445,0.16,0.839,9
F,0.585,0.465,0.145,0.9855,10
I,0.495,0.385,0.125,0.5125,10
I,0.55,0.405,0.15,0.6755,10
M,0.56,0.43,0.155,0.8675,8
M,0.535,0.42,0.125,0.764,11
M,0.625,0.515,0.17,1.331,9
M,0.675,0.545,0.185,1.7375,13
M,0.555,0.435,0.14,0.7495,8
I,0.4,0.3,0.09,0.2815,7
M,0.64,0.505,0.18,1.297,11
F,0.635,0.485,0.155,1.073,11
I,0.43,0.325,0.09,0.425,7
I,0.42,0.315,0.115,0.355,6
M,0.575,0.45,0.13,0.785,9
I,0.48,0.39,0.145,0.5825,15
F,0.38,0.3,0.09,0.3215,9
M,0.745,0.565,0.215,1.931,11
F,0.625,0.49,0.165,1.127,9
M,0.65,0.515,0.18,1.463,11
F,0.685,0.525,0.175,1.71,16
M,0.64,0.495,0.165,1.307,11
M,0.565,0.44,0.175,1.122,20
M,0.615,0.475,0.19,1.4335,9
F,0.58,0.455,0.12,1.0735,10
M,0.425,0.325,0.095,0.3785,7
F,0.66,0.525,0.19,1.67,11
M,0.61,0.365,0.155,1.0765,9
I,0.38,0.275,0.1,0.2255,10
I,0.165,0.115,0.015,0.0145,4
M,0.31,0.245,0.095,0.15,7
M,0.65,0.515,0.125,1.1805,9
F,0.58,0.435,0.15,0.839,7
M,0.5,0.4,0.125,0.6725,7
M,0.635,0.48,0.19,1.467,15
M,0.495,0.375,0.115,0.6245,6
F,0.605,0.48,0.14,0.991,8
M,0.535,0.42,0.16,0.7465,10
M,0.455,0.355,0.135,0.4745,13
M,0.605,0.465,0.165,1.056,13
M,0.58,0.465,0.15,0.9065,8
M,0.56,0.45,0.155,0.9125,10
I,0.41,0.305,0.09,0.3535,7
I,0.385,0.3,0.125,0.343,7
I,0.35,0.27,0.075,0.215,6
M,0.59,0.475,0.145,1.053,15
I,0.395,0.3,0.09,0.253,6
M,0.55,0.385,0.13,0.7275,8
M,0.72,0.575,0.215,2.173,12
I,0.445,0.33,0.11,0.358,8
F,0.565,0.45,0.175,1.0095,9
M,0.29,0.23,0.075,0.1165,7
I,0.21,0.15,0.045,0.04,4
I,0.535,0.415,0.15,0.5765,8
I,0.555,0.435,0.14,0.765,8
M,0.61,0.485,0.145,1.3305,9
M,0.425,0.305,0.11,0.359,9
I,0.56,0.435,0.135,0.72,11
I,0.385,0.29,0.09,0.2365,8
M,0.66,0.52,0.19,1.558,10
F,0.64,0.5,0.18,1.4995,11
M,0.52,0.4,0.145,0.7765,9
M,0.735,0.57,0.175,1.88,11
I,0.535,0.4,0.13,0.657,7
M,0.565,0.435,0.185,0.9815,13
M,0.595,0.435,0.16,1.057,9
I,0.51,0.375,0.1,0.5785,7
M,0.645,0.5,0.175,1.5105,12
F,0.62,0.475,0.175,1.0165,10
M,0.645,0.51,0.16,1.33,9
M,0.565,0.45,0.16,0.895,9
F,0.64,0.505,0.175,1.3185,9
M,0.59,0.46,0.14,1.004,9
I,0.235,0.175,0.04,0.0705,5
M,0.615,0.505,0.165,1.167,10
I,0.335,0.24,0.095,0.17,9
I,0.44,0.345,0.12,0.365,7
F,0.505,0.405,0.16,0.6835,10
F,0.525,0.43,0.165,0.717,10
I,0.35,0.235,0.08,0.17,7
M,0.625,0.505,0.175,1.131,8
F,0.72,0.525,0.18,1.445,7
F,0.565,0.44,0.155,0.9395,12
I,0.32,0.235,0.08,0.1485,6
I,0.51,0.4,0.145,0.5775,9
F,0.375,0.27,0.135,0.597,7
F,0.575,0.48,0.15,0.897,8
F,0.61,0.45,0.16,1.136,9
I,0.35,0.26,0.09,0.1765,7
M,0.665,0.5,0.175,1.2975,9
F,0.585,0.46,0.15,1.0035,11
I,0.415,0.32,0.11,0.3735,7
M,0.59,0.47,0.155,1.1735,9
I,0.54,0.39,0.125,0.6255,8
M,0.68,0.52,0.195,1.4535,10
M,0.57,0.46,0.15,1.0375,9
M,0.395,0.295,0.115,0.316,12
M,0.45,0.355,0.115,0.479,8
M,0.355,0.265,0.085,0.201,8
M,0.59,0.45,0.16,0.998,9
M,0.54,0.415,0.145,0.74,12
F,0.6,0.45,0.14,0.869,11
I,0.46,0.37,0.11,0.3965,8
F,0.63,0.515,0.16,1.336,11
F,0.61,0.47,0.16,1.017,12
F,0.635,0.505,0.145,1.1345,10
I,0.58,0.42,0.16,0.728,14
F,0.625,0.515,0.155,1.1635,11
M,0.645,0.495,0.185,1.4935,15
M,0.665,0.525,0.175,1.443,11
I,0.51,0.455,0.135,0.6855,9
I,0.44,0.34,0.105,0.369,5
I,0.52,0.41,0.145,0.646,9
I,0.37,0.29,0.08,0.2545,6
F,0.49,0.37,0.115,0.541,11
M,0.385,0.3,0.115,0.3435,6
F,0.515,0.395,0.165,0.7565,10
F,0.725,0.58,0.185,1.523,9
F,0.64,0.5,0.17,1.2645,9
M,0.6,0.45,0.15,0.8665,12
I,0.255,0.19,0.07,0.0815,5
M,0.66,0.53,0.175,1.583,10
M,0.55,0.41,0.13,0.8705,9
M,0.645,0.51,0.155,1.539,11
M,0.485,0.39,0.085,0.6435,8
I,0.575,0.45,0.13,0.8145,10
F,0.65,0.52,0.195,1.281,10
I,0.42,0.305,0.11,0.28,9
M,0.6,0.495,0.175,1.3005,11
I,0.56,0.435,0.13,0.777,9
I,0.32,0.235,0.09,0.183,7
F,0.515,0.4,0.115,0.578,9
M,0.35,0.265,0.09,0.2265,6
F,0.635,0.5,0.18,1.312,18
I,0.245,0.175,0.055,0.0785,5
F,0.59,0.415,0.15,0.8805,11
M,0.505,0.39,0.115,0.5585,8
I,0.385,0.3,0.09,0.308,8
M,0.53,0.415,0.13,0.8425,20
F,0.56,0.44,0.135,0.8025,9
I,0.425,0.325,0.115,0.3685,7
M,0.565,0.425,0.16,0.9425,17
F,0.585,0.455,0.165,0.998,12
F,0.58,0.445,0.145,0.888,8
M,0.625,0.47,0.175,1.179,9
I,0.545,0.42,0.165,0.8935,8
I,0.16,0.11,0.025,0.0195,4
M,0.525,0.43,0.165,0.8645,16
I,0.375,0.285,0.08,0.226,7
F,0.52,0.425,0.15,0.813,10
I,0.475,0.36,0.125,0.4905,8
F,0.585,0.45,0.16,0.9045,8
F,0.58,0.425,0.15,0.844,9
M,0.61,0.475,0.165,1.116,15
F,0.625,0.485,0.19,1.1745,17
M,0.37,0.29,0.09,0.241,10
M,0.375,0.29,0.1,0.276,9
M,0.335,0.26,0.075,0.22,6
F,0.605,0.485,0.165,1.0735,14
F,0.58,0.435,0.155,0.8785,10
M,0.5,0.375,0.15,0.636,10
I,0.29,0.21,0.07,0.1115,5
I,0.485,0.365,0.105,0.5205,8
M,0.62,0.485,0.155,1.0295,12
I,0.52,0.39,0.13,0.5545,7
F,0.63,0.495,0.2,1.4255,11
I,0.445,0.31,0.09,0.336,7
I,0.315,0.23,0,0.134,6
M,0.485,0.385,0.125,0.4775,12
M,0.65,0.51,0.175,1.3165,12
F,0.62,0.475,0.15,0.9545,9
M,0.46,0.375,0.13,0.5735,9
F,0.415,0.325,0.105,0.38,12
M,0.375,0.3,0.1,0.2465,11
I,0.21,0.15,0.055,0.0465,5
I,0.24,0.17,0.05,0.0545,5
M,0.615,0.475,0.175,1.103,10
F,0.61,0.49,0.17,1.1775,15
M,0.48,0.375,0.12,0.5895,11
I,0.375,0.285,0.09,0.257,7
I,0.475,0.365,0.125,0.5465,9
I,0.215,0.15,0.055,0.041,3
M,0.68,0.54,0.195,1.7825,11
M,0.335,0.25,0.09,0.181,7
M,0.495,0.395,0.12,0.553,8
I,0.55,0.43,0.145,0.7895,11
I,0.3,0.23,0.085,0.117,6
M,0.565,0.455,0.185,0.9265,16
M,0.74,0.605,0.2,2.4925,13
F,0.635,0.49,0.17,1.2615,9
F,0.635,0.535,0.19,1.242,14
F,0.455,0.375,0.125,0.458,10
M,0.51,0.39,0.125,0.6565,10
M,0.705,0.56,0.22,1.981,14
M,0.67,0.52,0.19,1.6385,9
F,0.62,0.49,0.16,1.056,9
M,0.695,0.53,0.21,1.51,10
I,0.395,0.27,0.1,0.2985,5
I,0.325,0.24,0.07,0.152,8
M,0.535,0.405,0.14,0.7315,7
M,0.555,0.435,0.145,0.9205,8
I,0.395,0.305,0.105,0.284,8
M,0.55,0.43,0.15,0.8745,9
F,0.665,0.54,0.195,1.764,11
I,0.475,0.35,0.11,0.4565,6
F,0.63,0.5,0.175,1.1105,10
M,0.69,0.505,0.2,1.872,10
F,0.455,0.355,1.13,0.594,8
I,0.33,0.265,0.085,0.196,6
M,0.65,0.51,0.19,1.542,9
M,0.565,0.455,0.155,0.9355,11
M,0.525,0.42,0.155,0.842,9
M,0.235,0.17,0.055,0.0515,7
M,0.66,0.51,0.18,1.261,10
I,0.4,0.305,0.1,0.3415,7
M,0.55,0.425,0.155,0.9175,13
I,0.255,0.19,0.075,0.0865,5
M,0.565,0.445,0.145,0.9255,9
I,0.26,0.2,0.07,0.092,6
M,0.555,0.425,0.15,0.873,9
I,0.43,0.315,0.115,0.384,8
I,0.38,0.275,0.095,0.2425,6
F,0.545,0.405,0.175,0.98,18
I,0.56,0.42,0.14,0.837,8
F,0.55,0.445,0.155,0.9905,9
F,0.45,0.325,0.135,0.438,9
M,0.385,0.285,0.105,0.2905,12
F,0.55,0.38,0.165,1.205,10
I,0.36,0.265,0.085,0.1865,7
M,0.515,0.38,0.135,0.6615,10
M,0.6,0.46,0.155,0.9595,11
F,0.675,0.53,0.195,1.4985,9
I,0.465,0.365,0.115,0.467,7
I,0.36,0.28,0.09,0.2255,8
F,0.7,0.535,0.175,1.773,15
M,0.58,0.45,0.145,1.0025,8
F,0.66,0.52,0.2,1.676,17
F,0.555,0.405,0.12,0.913,9
F,0.36,0.265,0.09,0.2065,8
I,0.415,0.325,0.1,0.3335,7
F,0.6,0.45,0.14,0.837,10
M,0.62,0.475,0.185,1.325,13
I,0.44,0.31,0.115,0.3625,11
M,0.7,0.575,0.19,2.273,12
M,0.625,0.52,0.175,1.4105,10
F,0.645,0.48,0.19,1.371,12
I,0.24,0.175,0.055,0.0705,5
M,0.725,0.57,0.19,2.55,14
F,0.545,0.44,0.15,0.9475,8
M,0.55,0.43,0.18,0.8265,10
F,0.685,0.53,0.17,1.5105,10
F,0.6,0.455,0.145,0.8895,10
M,0.645,0.515,0.185,1.4605,19
I,0.5,0.36,0.12,0.439,8
M,0.58,0.43,0.125,0.9115,10
F,0.565,0.45,0.135,0.9885,12
F,0.66,0.525,0.16,1.277,13
I,0.37,0.27,0.095,0.2175,6
I,0.465,0.38,0.13,0.454,11
M,0.63,0.5,0.175,1.2645,10
I,0.33,0.255,0.095,0.172,6
M,0.49,0.39,0.14,0.707,13
M,0.57,0.475,0.195,1.0295,18
F,0.515,0.4,0.17,0.796,16
M,0.35,0.26,0.09,0.195,9
I,0.265,0.21,0.06,0.0965,5
M,0.575,0.47,0.185,0.985,10
I,0.44,0.32,0.105,0.3875,9
M,0.58,0.46,0.155,1.4395,10
I,0.55,0.425,0.13,0.664,8
F,0.51,0.38,0.13,0.584,13
M,0.55,0.42,0.16,1.3405,10
F,0.64,0.51,0.2,1.3905,12
I,0.3,0.225,0.075,0.1345,5
F,0.63,0.5,0.17,1.3135,20
I,0.44,0.33,0.135,0.4095,6
I,0.54,0.43,0.14,0.8195,9
I,0.495,0.4,0.105,0.602,8
F,0.4,0.325,0.12,0.3185,8
F,0.675,0.53,0.175,1.4465,10
I,0.55,0.45,0.13,0.804,6
M,0.72,0.55,0.205,2.165,10
M,0.57,0.435,0.125,0.8965,9
I,0.49,0.375,0.115,0.557,8
M,0.28,0.21,0.08,0.1085,7
M,0.53,0.425,0.13,0.7455,10
F,0.585,0.45,0.17,0.8685,22
I,0.385,0.29,0.09,0.2615,9
I,0.58,0.445,0.15,0.8865,11
I,0.455,0.345,0.11,0.434,8
F,0.605,0.515,0.17,1.289,9
F,0.455,0.365,0.115,0.4305,8
I,0.45,0.34,0.125,0.4045,8
I,0.475,0.365,0.115,0.49,9
F,0.63,0.48,0.15,1.0525,12
M,0.64,0.53,0.165,1.1895,11
F,0.4,0.305,0.16,0.368,7
I,0.62,0.47,0.14,0.8565,9
M,0.395,0.28,0.08,0.266,12
I,0.325,0.245,0.075,0.1495,5
F,0.505,0.4,0.125,0.583,7
F,0.625,0.515,0.15,1.2415,15
M,0.495,0.4,0.135,0.61,7
M,0.48,0.355,0.16,0.464,8
F,0.655,0.49,0.16,1.204,9
I,0.11,0.09,0.03,0.008,3
I,0.385,0.265,0.08,0.251,6
M,0.505,0.365,0.115,0.521,8
M,0.685,0.52,0.15,1.3735,11
F,0.53,0.42,0.135,0.677,9
F,0.585,0.475,0.165,1.053,11
F,0.49,0.38,0.155,0.578,9
M,0.49,0.395,0.14,0.549,11
I,0.3,0.22,0.065,0.1195,5
